SHOT_RESULT,GAME_ID,MATCHUP,LOCATION,W,FINAL_MARGIN,SHOT_NUMBER,PERIOD,GAME_CLOCK,SHOT_CLOCK,DRIBBLES,TOUCH_TIME,SHOT_DIST,PTS_TYPE,CLOSEST_DEFENDER,CLOSEST_DEFENDER_PLAYER_ID,CLOSE_DEF_DIST,player_name,player_id
made,21400690,"JAN 28, 2015 - LAC @ UTA",A,W,5,6,3,647,14.1,0,1.5,24.2,3,"Exum, Dante",203957,3.8,chris paul,101108
missed,21400134,"NOV 15, 2014 - TOR vs. UTA",H,W,18,11,4,235,13.4,2,2.4,17.5,2,"Burke, Trey",203504,3.3,lou williams,101150
missed,21400611,"JAN 19, 2015 - MIN @ CHA",A,L,-25,7,4,335,13.4,0,1.0,19.7,2,"Vonleh, Noah",203943,5.4,anthony bennett,203461
made,21400680,"JAN 27, 2015 - WAS @ LAL",A,W,6,3,1,408,0.0,0,0.8,19.3,2,"Sacre, Robert",203135,7.5,nene hilario,2403
made,21400693,"JAN 29, 2015 - MEM vs. DEN",H,W,30,8,3,433,24.0,0,0.6,2.3,2,"Faried, Kenneth",202702,4.3,zach randolph,2216
missed,21400029,"NOV 01, 2014 - ORL vs. TOR",H,L,-13,2,2,648,11.1,1,2.0,16.5,2,"Johnson, James",201949,2.6,ben gordon,2732
made,21400786,"FEB 10, 2015 - BKN @ MEM",A,L,-9,5,4,309,15.3,1,1.4,2.4,2,"Randolph, Zach",2216,1.4,jerome jordan,202366
missed,21400341,"DEC 13, 2014 - CHA vs. BKN",H,L,-27,9,2,299,17.0,7,6.5,6.9,2,"Davies, Brandon",203561,2.2,lance stephenson,202362
missed,21400854,"FEB 26, 2015 - GSW @ CLE",A,L,-11,1,1,663,11.8,0,0.8,18.4,2,"Love, Kevin",201567,8.1,draymond green,203110
made,21400825,"FEB 22, 2015 - ORL vs. PHI",H,W,5,24,4,48,10.9,0,0.7,4.3,2,"Thompson, Hollis",203138,2.0,nikola vucevic,202696
