SHOT_RESULT,GAME_ID,MATCHUP,LOCATION,W,FINAL_MARGIN,SHOT_NUMBER,PERIOD,GAME_CLOCK,SHOT_CLOCK,DRIBBLES,TOUCH_TIME,SHOT_DIST,PTS_TYPE,CLOSEST_DEFENDER,CLOSEST_DEFENDER_PLAYER_ID,CLOSE_DEF_DIST,player_name,player_id
missed,21400310,"DEC 09, 2014 - DAL @ MEM",A,L,-9,5,2,335,8.9,3,3.1,15.3,2,"Allen, Tony",2754,5.4,mnta ellis,101145
missed,21400392,"DEC 19, 2014 - LAL vs. OKC",H,L,-1,5,1,354,18.2,3,4.4,24.9,3,"Jackson, Reggie",202704,3.3,ronnie price,101179
missed,21400322,"DEC 10, 2014 - SAS vs. NYK",H,W,14,8,3,467,10.3,0,0.8,24.2,3,"Hardaway Jr., Tim",203501,5.1,danny green,201980
made,21400419,"DEC 23, 2014 - CHI @ WAS",A,W,8,11,3,533,14.1,0,0.9,13.9,2,"Gortat, Marcin",101162,4.3,pau gasol,2200
missed,21400163,"NOV 19, 2014 - WAS vs. DAL",H,L,-3,1,1,659,13.4,2,4.4,11.3,2,"Parsons, Chandler",202718,3.2,paul pierce,1718
made,21400309,"DEC 09, 2014 - DET vs. POR",H,L,-12,9,4,555,18.4,0,0.7,16.6,2,"Blake, Steve",2581,4.2,caron butler,2406
missed,21400549,"JAN 10, 2015 - CHA @ NYK",A,W,28,3,1,286,1.9,0,3.0,3.9,2,"Hardaway Jr., Tim",203501,0.8,gerald henderson,201945
made,21400103,"NOV 11, 2014 - TOR vs. ORL",H,W,4,4,4,170,14.8,0,0.9,5.1,2,"Frye, Channing",101112,2.1,james johnson,201949
made,21400666,"JAN 25, 2015 - DEN vs. WAS",H,L,-2,4,1,288,13.0,0,0.8,17.7,2,"Webster, Martell",101110,3.8,arron afflalo,201167
made,21400362,"DEC 15, 2014 - DET @ LAC",A,L,-22,2,1,611,16.0,0,0.7,23.0,3,"Barnes, Matt",2440,7.5,kyle singler,202713
made,21400095,"NOV 09, 2014 - PHX vs. GSW",H,W,12,3,1,585,15.0,0,0.8,17.2,2,"Green, Draymond",203110,7.0,markieff morris,202693
made,21400307,"DEC 08, 2014 - LAC vs. PHX",H,W,1,3,2,143,21.3,0,0.6,5.7,2,"Bledsoe, Eric",202339,3.3,deandre jordan,201599
missed,21400491,"JAN 02, 2015 - PHX vs. PHI",H,W,16,3,4,621,14.3,3,4.0,13.2,2,"Sims, Henry",203156,4.7,isaiah thomas,202738
missed,21400633,"JAN 21, 2015 - OKC @ WAS",A,W,2,1,1,127,12.0,0,0.1,17.5,2,"Humphries, Kris",2743,5.4,anthony morrow,201627
made,21400358,"DEC 15, 2014 - CHI @ ATL",A,L,-7,2,2,701,4.9,8,6.5,3.7,2,"Horford, Al",201143,1.8,aaron brooks,201166
missed,21400382,"DEC 18, 2014 - OKC @ GSW",A,L,-5,14,3,443,12.4,12,11.0,24.5,3,"Green, Draymond",203110,5.2,russell westbrook,201566
missed,21400784,"FEB 10, 2015 - HOU @ PHX",A,W,9,15,3,40,4.2,0,0.8,22.9,3,"Morris, Marcus",202694,8.2,patrick beverley,201976
missed,21400377,"DEC 17, 2014 - LAC vs. IND",H,W,2,2,1,637,10.3,0,1.0,18.7,2,"Stuckey, Rodney",201155,12.3,blake griffin,201933
made,21400484,"JAN 02, 2015 - CHA vs. CLE",H,L,-4,11,3,256,22.4,1,1.4,3.6,2,"Thompson, Tristan",202684,2.0,michael kidd-gilchrist,203077
missed,21400245,"NOV 30, 2014 - NYK vs. MIA",H,L,-7,3,2,277,23.2,0,1.5,25.4,3,"Deng, Luol",2736,8.5,jose calderon,101181
missed,21400228,"NOV 28, 2014 - HOU vs. LAC",H,L,-17,12,4,452,13.3,8,10.5,24.9,3,"Redick, JJ",200755,3.1,james harden,201935
missed,21400666,"JAN 25, 2015 - DEN vs. WAS",H,L,-2,1,1,481,10.3,0,0.9,17.7,2,"Gortat, Marcin",101162,6.5,jusuf nurkic,203994
made,21400532,"JAN 07, 2015 - SAC vs. OKC",H,W,21,11,2,53,18.0,0,1.2,26.4,3,"Jones, Perry",203103,4.8,darren collison,201954
made,21400706,"JAN 31, 2015 - DAL @ ORL",A,W,15,4,1,232,3.7,0,1.2,0.7,2,"Fournier, Evan",203095,2.1,tyson chandler,2199
missed,21400737,"FEB 04, 2015 - MIA @ MIN",A,L,-1,1,2,468,15.0,0,3.7,4.5,2,"Pekovic, Nikola",201593,0.6,chris andersen,2365
made,21400784,"FEB 10, 2015 - HOU @ PHX",A,W,9,13,3,278,20.8,1,1.6,4.6,2,"Tucker, PJ",200782,2.9,james harden,201935
missed,21400782,"FEB 09, 2015 - OKC @ DEN",A,W,10,6,4,370,10.1,2,2.6,24.0,2,"Lawson, Ty",201951,5.1,anthony morrow,201627
missed,21400540,"JAN 09, 2015 - DET vs. ATL",H,L,-3,7,3,663,6.8,18,14.5,7.4,2,"Millsap, Paul",200794,2.0,brandon jennings,201943
missed,21400801,"FEB 19, 2015 - DAL @ OKC",A,L,-15,3,2,319,24.0,0,0.6,0.8,2,"Ibaka, Serge",201586,2.7,tyson chandler,2199
made,21400854,"FEB 26, 2015 - CLE vs. GSW",H,W,11,8,2,523,11.1,0,0.0,5.1,2,"Iguodala, Andre",2738,2.1,lebron james,2544
made,21400463,"DEC 29, 2014 - WAS @ HOU",A,W,1,11,3,287,5.2,0,0.9,23.6,3,"Motiejunas, Donatas",202700,5.8,bradley beal,203078
missed,21400502,"JAN 03, 2015 - LAC vs. PHI",H,W,36,3,1,452,18.0,0,0.9,24.6,3,"Covington, Robert",203496,6.7,matt barnes,2440
missed,21400088,"NOV 08, 2014 - MEM @ MIL",A,L,-1,7,3,540,0.0,8,4.8,3.8,2,"Middleton, Khris",203114,0.6,tony allen,2754
missed,21400268,"DEC 03, 2014 - HOU vs. MEM",H,W,9,6,4,681,1.8,0,2.5,12.1,2,"Leuer, Jon",202720,7.0,kostas papanikolaou,203123
missed,21400192,"NOV 22, 2014 - NOP @ UTA",A,W,12,13,4,8,3.6,19,21.8,21.3,2,"Burke, Trey",203504,7.7,tyreke evans,201936
missed,21400228,"NOV 28, 2014 - HOU vs. LAC",H,L,-17,1,1,680,12.2,0,0.9,24.6,3,"Barnes, Matt",2440,6.8,trevor ariza,2772
made,21400267,"DEC 03, 2014 - MIA vs. ATL",H,L,-10,11,4,516,16.3,0,0.8,25.0,3,"Horford, Al",201143,5.1,chris bosh,2547
missed,21400380,"DEC 18, 2014 - HOU vs. NOP",H,L,-9,6,3,542,17.7,0,0.8,22.7,3,"Holiday, Jrue",201950,4.9,patrick beverley,201976
made,21400633,"JAN 21, 2015 - WAS vs. OKC",H,L,-2,8,3,48,18.7,0,0.7,3.9,2,"Collison, Nick",2555,4.7,marcin gortat,101162
made,21400033,"NOV 01, 2014 - BKN @ DET",A,W,12,2,1,575,5.7,1,1.3,18.9,2,"Jennings, Brandon",201943,6.7,kevin garnett,708
missed,21400819,"FEB 21, 2015 - HOU vs. TOR",H,W,22,8,3,497,16.5,0,1.0,25.6,3,"Johnson, James",201949,5.6,james harden,201935
made,21400643,"JAN 23, 2015 - CHA @ CLE",A,L,-39,7,4,399,13.2,4,3.8,3.7,2,"Haywood, Brendan",2217,4.3,lance stephenson,202362
made,21400587,"JAN 16, 2015 - DET @ IND",A,W,2,14,3,335,18.8,4,3.9,25.9,3,"Watson, CJ",201228,4.2,brandon jennings,201943
missed,21400342,"DEC 13, 2014 - POR @ IND",A,W,10,9,4,692,9.4,5,5.4,16.4,2,"Stuckey, Rodney",201155,1.7,wesley matthews,202083
missed,21400519,"JAN 05, 2015 - ATL @ LAC",A,W,9,1,1,101,17.7,5,4.6,20.0,2,"Paul, Chris",101108,5.7,dennis schroder,203471
made,21400895,"MAR 03, 2015 - MIL @ DEN",A,L,-11,5,2,529,2.3,3,3.8,8.8,2,"Chandler, Wilson",201163,1.6,giannis antetokounmpo,203507
missed,21400789,"FEB 11, 2015 - ATL @ BOS",A,L,-1,5,2,0,0.0,0,0.3,35.8,3,"Turner, Evan",202323,4.6,jeff teague,201952
made,21400504,"JAN 04, 2015 - DET vs. SAC",H,W,19,8,3,349,12.1,1,2.1,2.7,2,"Thompson, Jason",201574,1.9,greg monroe,202328
made,21400458,"DEC 28, 2014 - PHX @ LAL",A,W,9,7,1,165,20.6,1,1.3,2.2,2,"Lin, Jeremy",202391,27.7,goran dragic,201609
missed,21400542,"JAN 09, 2015 - UTA @ OKC",A,L,-5,2,2,537,2.2,1,0.6,21.9,2,"Collison, Nick",2555,4.7,trevor booker,202344
made,21400182,"NOV 21, 2014 - GSW vs. UTA",H,W,13,4,3,182,15.5,0,1.2,21.5,2,"Ingles, Joe",204060,3.5,andre iguodala,2738
missed,21400254,"DEC 02, 2014 - BOS @ ATL",A,L,-4,3,3,259,11.5,1,1.3,14.5,2,"Korver, Kyle",2594,2.4,evan turner,202323
made,21400026,"OCT 31, 2014 - LAC @ LAL",A,W,7,2,1,614,19.7,1,1.2,3.8,2,"Hill, Jordan",201941,18.2,blake griffin,201933
made,21400598,"JAN 16, 2015 - SAC vs. MIA",H,L,-12,5,2,542,11.7,0,0.7,2.7,2,"Williams, Shawne",200761,2.3,demarcus cousins,202326
made,21400589,"JAN 16, 2015 - PHI vs. NOP",H,W,15,3,1,516,13.7,0,2.2,15.1,2,"Asik, Omer",201600,7.1,nerles noel,203457
missed,21400459,"DEC 29, 2014 - MIL @ CHA",A,W,10,14,4,176,16.0,10,8.2,2.5,2,"Walker, Kemba",202689,1.7,brandon knight,202688
made,21400436,"DEC 26, 2014 - HOU @ MEM",A,W,6,15,4,17,12.3,11,9.1,6.2,2,"Prince, Tayshaun",2419,2.2,james harden,201935
missed,21400749,"FEB 06, 2015 - GSW @ ATL",A,L,-8,16,4,396,12.5,0,0.9,25.2,3,"Teague, Jeff",201952,4.3,stephen curry,201939
made,21400065,"NOV 05, 2014 - MEM @ PHX",A,W,11,9,4,483,7.7,1,2.9,8.8,2,"Len, Alex",203458,2.1,marc gasol,201188
missed,21400652,"JAN 24, 2015 - CHA vs. NYK",H,W,5,11,3,345,9.3,1,4.6,11.0,2,"Amundson, Lou",200811,3.4,al jefferson,2744
made,21400037,"NOV 01, 2014 - PHX @ UTA",A,L,-27,1,1,275,8.5,0,0.1,3.0,2,"Favors, Derrick",202324,2.0,alex len,203458
missed,21400344,"DEC 13, 2014 - LAC @ MIL",A,L,-5,12,4,439,13.1,2,3.0,15.2,2,"Marshall, Kendall",203088,2.5,jamal crawford,2037
missed,21400377,"DEC 17, 2014 - IND @ LAC",A,L,-2,10,2,14,0.0,0,1.1,5.4,2,"Paul, Chris",101108,2.8,roy hibbert,201579
missed,21400086,"NOV 08, 2014 - CHI vs. BOS",H,L,-5,6,4,625,9.3,1,1.4,3.4,2,"Bass, Brandon",101138,1.1,taj gibson,201959
missed,21400039,"NOV 02, 2014 - LAC vs. SAC",H,L,-6,1,1,628,9.9,0,1.4,20.3,2,"Gay, Rudy",200752,10.8,blake griffin,201933
made,21400279,"DEC 05, 2014 - BOS vs. LAL",H,W,17,3,1,350,19.1,0,0.6,2.2,2,"Hill, Jordan",201941,1.9,tyler zeller,203092
made,21400433,"DEC 26, 2014 - CLE @ ORL",A,W,9,7,4,674,23.4,0,1.9,1.2,2,"Fournier, Evan",203095,2.7,tristan thompson,202684
made,21400138,"NOV 15, 2014 - BKN @ POR",A,L,-10,3,3,693,24.0,0,1.2,1.4,2,"Lopez, Robin",201577,0.9,kevin garnett,708
made,21400017,"OCT 30, 2014 - DET @ MIN",A,L,-6,8,4,580,12.0,0,0.8,24.3,3,"Muhammad, Shabazz",203498,2.6,caron butler,2406
made,21400423,"DEC 23, 2014 - CHA @ MIL",A,W,7,2,1,30,13.8,0,0.8,24.7,3,"Dudley, Jared",201162,7.7,marvin williams,101107
missed,21400140,"NOV 15, 2014 - CHA @ GSW",A,L,-25,2,1,508,11.0,0,0.0,24.8,3,"Green, Draymond",203110,5.5,marvin williams,101107
missed,21400183,"NOV 21, 2014 - CHI @ POR",A,L,-18,9,3,182,19.6,1,1.3,0.8,2,"Matthews, Wesley",202083,2.4,joakim noah,201149
made,21400506,"JAN 04, 2015 - NYK vs. MIL",H,L,-13,4,1,275,1.7,0,0.8,30.0,3,"Antetokounmpo, Giannis",203507,4.2,time hardaway jr,203501
made,21400356,"DEC 15, 2014 - IND vs. LAL",H,W,19,3,2,396,8.9,0,1.0,22.6,3,"Sacre, Robert",203135,7.3,luis scola,2449
made,21400095,"NOV 09, 2014 - PHX vs. GSW",H,W,12,9,4,487,11.0,10,8.7,11.5,2,"Curry, Stephen",201939,2.4,isaiah thomas,202738
missed,21400711,"JAN 31, 2015 - MIN vs. CLE",H,L,-16,21,4,684,15.1,0,1.1,25.7,3,"Dellavedova, Matthew",203521,5.3,andrew wiggins,203952
made,21400434,"DEC 26, 2014 - ATL vs. MIL",H,L,-30,1,1,709,14.7,0,0.4,1.6,2,"O'Bryant, Johnny",203948,2.8,paul millsap,200794
missed,21400598,"JAN 16, 2015 - SAC vs. MIA",H,L,-12,6,2,486,10.8,0,0.8,24.3,3,"Ennis, James",203516,4.7,ben mclemore,203463
made,21400868,"FEB 27, 2015 - MIL @ LAL",A,L,-8,7,2,180,0.0,2,1.7,11.9,2,"Ellington, Wayne",201961,2.8,jerryd bayless,201573
made,21400237,"NOV 29, 2014 - ATL vs. CHA",H,W,30,1,2,636,11.2,1,1.7,7.4,2,"Maxiell, Jason",101131,3.2,mike scott,203118
made,21400833,"FEB 23, 2015 - TOR @ NOP",A,L,-3,13,3,62,11.9,13,10.4,10.3,2,"Gordon, Eric",201569,3.4,kyle lowry,200768
missed,21400876,"FEB 28, 2015 - UTA vs. MIL",H,W,7,3,3,257,1.4,2,2.3,9.3,2,"Middleton, Khris",203114,2.8,dante exum,203957
made,21400096,"NOV 09, 2014 - DEN @ POR",A,L,-16,15,4,193,18.0,4,4.7,1.2,2,"Aldridge, LaMarcus",200746,5.3,ty lawson,201951
made,21400393,"DEC 20, 2014 - PHX @ NYK",A,W,9,6,2,121,9.4,3,3.1,3.2,2,"Prigioni, Pablo",203143,4.1,goran dragic,201609
made,21400758,"FEB 07, 2015 - CHI @ NOP",A,W,35,2,1,215,7.7,0,1.0,22.0,2,"Cunningham, Dante",201967,18.1,kirk hinrich,2550
