SHOT_RESULT,LOCATION,W,FINAL_MARGIN,SHOT_NUMBER,SHOT_CLOCK,DRIBBLES,TOUCH_TIME,SHOT_DIST,PTS_TYPE,CLOSE_DEF_DIST,GAME_TIME
-1,1,-1,-7,9,13.5,1,2.7,16.3,2,5.0,1211
1,1,1,27,3,11.8,1,2.5,20.2,2,3.8,2699
-1,-1,1,9,11,6.7,8,6.5,6.6,2,1.4,1953
1,1,-1,-7,11,0.0,2,3.9,4.1,2,3.6,2167
-1,1,-1,-4,5,14.6,0,1.0,23.9,3,6.5,2339
1,1,1,12,3,13.8,2,4.1,21.1,2,5.7,1383
1,1,1,6,9,8.8,3,7.7,17.7,2,2.9,999
1,-1,1,1,8,21.0,0,0.8,24.5,3,6.1,2045
-1,-1,-1,-2,6,10.4,0,0.7,4.2,2,2.5,1942
-1,1,-1,-1,10,4.3,4,2.4,18.2,2,4.8,1450
1,1,1,3,9,18.0,0,0.8,1.9,2,0.1,1819
1,1,-1,-10,3,6.1,0,1.0,18.0,2,2.9,999
-1,1,-1,-17,7,14.3,3,2.9,5.7,2,1.2,2591
-1,-1,1,18,2,11.3,0,0.3,2.3,2,2.1,1068
1,1,1,2,6,19.4,1,1.5,8.8,2,2.3,2738
1,1,1,8,11,7.9,1,1.2,22.6,2,8.5,2419
-1,1,-1,-13,6,13.8,1,1.7,7.3,2,4.0,1861
-1,-1,-1,-7,1,18.1,0,0.9,16.5,2,6.2,252
1,-1,1,25,12,24.0,0,1.1,2.3,2,2.5,1630
-1,-1,1,8,13,0.7,12,12.0,4.8,2,0.3,1716
1,1,-1,-13,17,19.7,6,4.3,4.3,2,2.5,2236
1,1,1,17,10,11.9,3,9.3,11.4,2,4.2,830
1,1,1,2,5,24.0,0,0.0,0.9,2,2.2,1143
1,1,-1,-8,7,16.4,10,7.2,9.3,2,2.8,2813
1,1,-1,-1,3,5.2,10,8.1,2.4,2,3.1,251
1,-1,1,9,3,12.2,13,11.4,18.7,2,3.6,1278
-1,-1,1,18,3,0.0,2,1.8,42.0,3,5.0,1441
-1,1,-1,-5,4,11.9,0,1.1,11.9,2,2.5,868
-1,-1,1,17,9,14.9,7,5.8,26.2,3,5.0,914
-1,1,-1,-11,2,15.2,0,0.6,24.2,3,4.6,1046
1,-1,1,7,7,22.0,1,3.0,22.1,3,8.7,1002
1,1,1,28,10,13.9,1,1.1,18.3,2,5.0,2150
-1,-1,1,16,14,5.8,0,0.9,22.7,2,5.9,1557
1,-1,1,37,6,15.4,7,7.1,9.0,2,1.9,959
-1,1,1,25,11,8.6,0,0.7,19.4,2,3.8,2855
1,-1,-1,-6,1,11.0,0,1.0,16.5,2,4.9,643
-1,-1,1,8,6,13.8,1,3.4,3.6,2,6.5,2150
-1,-1,1,28,8,8.9,0,1.0,25.0,3,4.5,2193
1,1,1,7,13,24.0,0,0.1,2.8,2,3.5,2516
-1,-1,-1,-17,11,0.0,0,1.0,17.6,2,2.1,1443
-1,1,-1,-7,14,15.3,1,1.4,6.8,2,1.4,2416
1,-1,-1,-5,11,3.6,0,0.8,24.3,3,5.0,1467
-1,-1,1,12,1,19.7,0,0.7,22.4,3,9.0,587
-1,1,1,8,11,9.9,2,5.5,5.7,2,2.4,1824
1,1,1,5,12,16.3,6,6.7,2.6,2,2.2,1576
1,1,-1,-9,7,14.3,0,0.8,18.9,2,4.9,991
-1,-1,1,16,9,16.1,8,8.9,16.4,2,4.0,2584
1,1,1,28,7,7.1,18,14.7,16.7,2,4.5,863
1,1,1,17,2,0.0,0,0.1,2.4,2,3.9,1
-1,1,-1,-5,3,11.9,0,0.9,22.0,3,6.7,499
-1,-1,-1,-25,5,15.9,8,8.6,25.8,3,4.1,75
1,1,1,1,7,9.6,15,14.4,24.6,3,5.1,855
1,1,1,2,6,10.0,2,5.4,4.0,2,1.8,177
-1,-1,-1,-23,1,6.0,3,4.7,18.6,2,4.7,118
1,-1,1,1,4,17.3,8,7.0,7.4,2,5.7,2803
-1,-1,-1,-16,12,9.5,4,4.5,14.1,2,4.4,1609
-1,-1,1,2,3,14.7,2,2.1,24.1,3,3.1,2031
1,-1,-1,-11,10,14.6,2,3.5,14.9,2,5.5,2468
1,-1,1,6,6,22.3,1,2.7,3.5,2,2.0,1657
-1,-1,1,9,3,14.9,3,4.6,5.0,2,0.8,302
1,-1,1,3,4,8.3,2,3.3,12.9,2,2.9,268
1,-1,1,5,12,3.7,0,0.8,22.7,3,7.0,1448
-1,-1,-1,-15,9,9.0,0,0.8,24.9,3,5.6,926
1,-1,1,12,10,16.5,0,1.1,25.4,3,5.6,2045
1,1,1,8,10,16.7,0,0.9,22.5,3,5.4,1763
-1,1,-1,-11,1,8.6,0,0.8,14.1,2,2.1,612
1,1,1,16,4,5.9,0,0.7,24.2,3,16.4,1563
-1,1,-1,-23,4,18.7,2,2.4,2.9,2,3.4,2677
1,1,-1,-3,8,5.0,0,2.1,3.0,2,0.8,2515
1,-1,1,4,6,14.3,0,1.0,19.6,2,5.7,1006
-1,-1,1,6,17,13.1,2,2.0,20.1,2,3.9,2514
1,-1,1,4,21,9.1,0,0.8,16.8,2,5.3,2464
-1,1,-1,-17,3,19.3,3,3.5,4.9,2,3.6,362
1,-1,-1,-11,15,11.4,3,2.6,17.1,2,5.4,2655
1,-1,-1,-4,4,14.8,2,2.7,4.0,2,1.8,1506
-1,1,-1,-10,21,24.0,0,0.6,0.6,2,1.2,2383
-1,-1,-1,-2,7,24.0,0,0.7,1.0,2,1.9,1052
-1,1,1,7,10,8.1,17,15.8,11.9,2,4.8,2358
1,-1,1,26,7,18.9,0,0.8,22.1,3,5.7,974
-1,-1,1,12,4,12.0,0,0.9,22.4,3,6.2,1749
-1,1,-1,-3,12,13.7,0,0.9,22.6,3,7.4,1612
1,1,-1,-5,10,20.0,0,0.7,2.7,2,5.5,832
-1,-1,1,27,2,8.8,1,2.8,15.4,2,5.5,1425
1,-1,1,15,4,14.2,0,0.6,1.9,2,4.7,31
-1,1,-1,-5,18,0.3,4,4.5,23.4,3,0.6,2399
1,1,1,5,4,9.3,0,1.0,19.3,2,4.1,1125
1,-1,-1,-7,4,5.4,19,18.4,4.9,2,0.9,2846
-1,-1,-1,-11,16,19.8,0,0.9,24.2,3,12.4,2192
1,1,1,2,11,20.7,1,2.2,3.6,2,3.0,1867
-1,1,1,7,13,13.7,13,10.7,4.9,2,1.2,2414
-1,-1,1,5,11,18.8,1,1.8,2.7,2,3.8,1817
-1,1,-1,-5,6,14.6,0,0.8,25.0,3,12.5,1873
-1,1,1,11,4,6.4,3,8.6,4.5,2,1.8,36
1,-1,-1,-5,8,7.2,5,6.1,13.5,2,4.4,1504
-1,-1,-1,-9,2,15.3,0,3.3,15.0,2,3.1,572
-1,-1,1,13,11,15.8,3,3.7,25.2,3,3.1,2656
1,-1,1,7,9,2.8,1,2.0,26.7,3,4.4,727
-1,-1,-1,-4,2,7.0,2,5.6,11.0,2,2.1,1262
1,-1,1,5,13,6.3,1,2.8,8.9,2,1.7,2192
-1,1,1,7,9,10.6,4,4.4,5.2,2,5.0,894
1,-1,-1,-2,3,20.3,0,0.9,24.3,3,8.3,879
-1,1,1,13,9,8.7,3,7.6,5.8,2,1.8,2754
-1,1,1,2,10,15.5,11,8.8,1.3,2,5.3,1194
1,-1,-1,-2,18,6.0,2,5.3,2.7,2,4.6,1856
1,-1,-1,-5,8,6.2,0,0.7,25.7,3,4.7,1749
1,-1,1,16,5,5.4,1,3.6,13.5,2,1.8,960
-1,1,1,6,7,12.6,3,4.2,5.8,2,1.8,867
-1,-1,1,17,3,20.1,0,0.8,25.8,3,16.8,2691
-1,-1,-1,-13,11,13.5,0,0.9,16.2,2,4.7,1842
1,-1,1,8,4,10.0,2,2.4,5.7,2,1.6,1409
1,1,-1,-16,1,5.9,2,5.5,5.9,2,0.1,2014
1,1,1,12,2,18.3,0,0.9,19.2,2,8.5,491
1,-1,-1,-1,3,1.2,0,1.0,2.5,2,1.4,1283
1,1,-1,-5,12,2.5,2,3.1,0.8,2,3.2,2761
1,-1,-1,-5,1,14.3,2,2.8,19.1,2,8.8,40
1,-1,-1,-4,4,8.2,0,1.0,18.8,2,8.2,1828
1,1,1,26,1,14.8,3,4.5,14.6,2,2.2,650
1,1,-1,-8,2,10.0,7,7.5,13.5,2,3.0,170
1,1,1,4,3,2.8,1,1.3,20.0,2,3.6,519
1,-1,-1,-14,6,8.8,4,3.5,7.8,2,6.7,1320
-1,-1,1,13,4,13.0,2,5.2,18.9,2,5.1,1100
1,-1,1,3,4,18.7,0,0.2,1.6,2,5.4,252
-1,-1,-1,-13,8,17.7,7,6.6,4.6,2,3.5,1787
