SHOT_RESULT,LOCATION,W,FINAL_MARGIN,SHOT_NUMBER,SHOT_CLOCK,DRIBBLES,TOUCH_TIME,SHOT_DIST,PTS_TYPE,CLOSE_DEF_DIST,GAME_TIME
0,-1,1,6,3,9.3,3,5.0,10.9,2,2.3,2504
1,1,1,2,8,6.2,1,1.0,28.3,3,4.4,2527
1,1,1,5,19,8.8,1,1.0,18.1,2,4.3,2211
0,1,1,4,3,6.7,0,1.0,11.1,2,4.1,394
0,-1,1,7,18,8.4,0,0.0,3.8,2,2.3,2190
1,1,1,2,3,21.1,4,3.9,3.5,2,4.2,414
1,-1,1,1,2,13.1,1,1.4,20.9,2,5.5,465
0,1,-1,-4,12,18.7,6,5.3,1.5,2,3.1,1515
1,1,-1,-6,10,11.1,13,9.9,10.7,2,6.5,3019
1,1,-1,-1,6,19.7,0,0.3,3.1,2,11.2,2625
1,1,-1,-6,2,21.0,0,1.0,3.5,2,6.3,1107
0,-1,-1,-17,6,11.5,2,2.5,8.2,2,2.8,1052
1,1,-1,-8,2,9.0,0,1.3,20.3,2,6.6,19
0,-1,-1,-6,14,17.9,0,1.0,22.9,2,7.1,1476
1,1,-1,-4,15,20.0,0,0.9,25.7,3,5.2,1828
1,1,1,4,6,13.6,0,0.0,4.9,2,3.5,188
1,-1,-1,-6,1,11.4,0,0.8,19.7,2,6.8,507
1,-1,-1,-1,6,24.0,0,1.2,2.7,2,3.0,1954
1,1,-1,-8,12,6.8,4,6.6,11.6,2,2.7,2063
0,-1,1,3,1,14.1,9,9.9,8.7,2,3.3,1355
0,1,-1,-8,2,19.3,0,1.0,25.4,3,2.4,1269
1,1,-1,-2,3,7.0,0,1.0,24.6,3,6.1,1110
1,-1,-1,-15,12,6.1,0,0.9,24.7,3,3.1,2505
0,1,1,35,3,11.8,3,4.1,4.8,2,2.0,1055
1,-1,-1,-19,3,23.3,0,1.5,1.0,2,2.8,449
1,-1,1,10,1,12.1,0,0.8,23.4,3,4.7,691
1,1,-1,-16,6,12.0,2,4.7,9.0,2,4.7,1991
0,1,-1,-4,3,6.5,0,1.3,22.4,3,19.4,996
0,-1,1,10,14,11.7,1,1.8,25.4,3,7.4,2366
0,1,-1,-8,9,9.2,0,0.7,26.3,3,5.1,1970
0,-1,-1,-22,9,5.3,0,1.4,3.6,2,1.4,1857
1,1,1,19,4,16.3,0,0.8,24.7,3,10.2,782
1,-1,-1,-3,4,12.0,0,0.8,22.1,3,4.4,2613
0,1,1,22,4,7.5,0,1.3,24.7,3,10.3,903
1,-1,-1,-8,7,8.5,0,0.9,21.0,2,3.9,1987
0,1,-1,-7,4,6.2,1,2.4,9.0,2,2.9,2026
0,-1,1,4,20,11.5,0,1.2,16.9,2,4.6,2214
0,-1,-1,-6,10,5.1,2,5.4,23.6,3,4.6,2839
0,1,-1,-2,2,14.1,0,0.9,18.6,2,13.1,894
0,1,-1,-9,7,8.5,13,11.8,10.1,2,2.1,1548
1,-1,1,12,1,7.5,1,3.6,10.4,2,2.6,701
0,-1,-1,-7,15,12.2,5,7.3,4.3,2,0.7,2437
0,-1,-1,-9,11,0.9,2,1.9,24.6,3,3.3,1734
1,1,1,16,10,21.5,2,3.1,22.4,3,3.2,1866
1,1,1,12,1,18.2,0,1.0,23.9,3,3.4,847
0,1,-1,-16,6,17.8,7,5.5,23.9,3,5.9,2038
0,1,-1,-2,1,9.6,1,7.2,8.8,2,0.7,562
0,1,-1,-4,6,5.8,0,1.0,26.6,3,3.5,2800
0,1,1,21,7,13.9,0,1.2,23.8,3,11.4,790
0,1,-1,-15,10,8.3,0,0.5,2.2,2,2.0,1785
1,1,1,7,5,9.9,1,2.1,1.7,2,3.2,864
0,1,-1,-11,5,2.3,0,0.9,24.9,3,5.5,2138
0,-1,1,15,7,16.0,6,4.8,2.3,2,0.0,858
1,-1,-1,-2,9,14.3,12,9.6,5.2,2,2.8,2585
1,-1,1,8,5,13.5,0,1.2,24.7,3,2.7,757
1,-1,1,15,3,14.8,0,1.0,21.1,2,5.7,212
0,1,-1,-1,8,6.3,2,2.1,10.2,2,2.7,2689
1,1,1,8,12,10.0,7,6.7,8.5,2,1.6,1628
0,-1,1,22,5,10.6,0,3.1,16.4,2,4.7,141
0,-1,1,6,6,11.2,0,0.6,22.8,3,4.3,2782
1,1,-1,-1,2,15.2,0,0.8,3.3,2,6.1,604
0,1,-1,-13,5,0.8,0,0.8,25.0,3,5.1,238
1,1,1,7,4,17.4,7,5.7,2.9,2,1.2,204
0,1,1,10,5,4.2,20,19.8,24.6,3,8.3,728
0,-1,-1,-3,2,15.2,1,1.5,22.8,2,4.3,570
1,-1,1,5,3,22.5,0,1.0,4.8,2,2.6,213
1,1,-1,-8,9,7.8,1,0.9,23.1,3,8.2,2442
1,-1,-1,-11,6,7.6,1,1.8,18.8,2,9.8,2837
0,1,-1,-4,1,17.8,0,1.0,24.2,3,4.8,587
0,1,-1,-6,5,11.6,0,0.7,21.3,3,3.4,802
1,-1,1,7,19,6.0,2,3.6,1.0,2,1.6,2240
0,-1,1,6,6,12.6,16,10.6,11.2,2,2.3,1252
0,1,1,5,10,16.0,0,0.8,24.3,3,5.9,1808
0,1,-1,-2,6,12.7,0,1.0,19.4,2,11.6,2660
0,1,1,3,3,23.3,0,0.0,7.5,2,2.7,1068
1,1,-1,-9,5,13.5,1,2.0,5.9,2,3.3,887
0,1,-1,-20,5,6.8,4,3.9,3.0,2,3.9,370
1,1,-1,-6,13,15.7,0,1.3,1.1,2,2.8,2192
1,1,-1,-8,2,6.4,3,2.7,24.7,3,5.6,1358
1,-1,-1,-11,7,19.7,0,0.8,4.0,2,2.0,2090
0,-1,-1,-17,19,4.8,0,2.1,20.4,2,4.1,2452
1,-1,1,27,6,4.4,0,0.6,12.4,2,4.3,981
0,-1,1,2,3,4.0,2,2.3,8.1,2,3.2,2859
0,-1,-1,-7,3,17.8,0,0.6,4.5,2,3.9,1358
1,1,1,6,1,19.7,0,0.9,14.6,2,9.9,108
1,-1,1,3,7,0.0,6,5.8,5.5,2,5.0,724
1,1,-1,-19,3,8.9,0,0.9,26.1,3,9.8,34
1,-1,1,16,3,5.0,1,3.4,14.2,2,2.8,1199
1,1,-1,-17,3,11.9,0,0.7,7.4,2,2.1,636
0,1,1,2,1,0.0,2,4.9,20.0,2,3.8,367
1,1,-1,-8,4,14.7,9,9.2,0.6,2,1.8,1309
0,1,-1,-7,1,10.9,0,0.7,17.3,2,8.0,627
1,-1,1,5,1,20.3,0,0.6,7.1,2,3.9,555
1,-1,1,18,3,20.2,2,2.3,3.4,2,0.9,1403
0,-1,1,31,3,15.1,11,8.7,25.1,3,6.8,599
0,-1,1,7,7,11.5,4,2.9,2.3,2,1.2,2691
0,-1,1,7,5,14.2,0,1.2,19.8,2,14.8,1155
1,1,-1,-18,6,13.4,1,4.4,7.4,2,2.8,1221
1,1,-1,-8,2,6.0,0,0.9,3.8,2,1.6,519
0,1,1,8,7,6.0,6,7.6,10.7,2,2.0,959
1,1,1,24,11,10.9,0,0.7,2.3,2,1.8,819
0,-1,1,8,2,17.8,7,6.6,23.1,3,7.3,263
1,1,1,9,5,0.0,3,3.8,24.6,3,5.1,5
