SHOT_RESULT,LOCATION,W,FINAL_MARGIN,SHOT_NUMBER,SHOT_CLOCK,DRIBBLES,TOUCH_TIME,SHOT_DIST,PTS_TYPE,CLOSE_DEF_DIST,GAME_TIME
-1,-1,-1,-5,2,2.3,0,1.3,3.9,2,1.1,481
-1,1,-1,-6,7,6.3,2,5.9,8.0,2,2.1,1679
1,-1,1,6,3,10.2,0,2.2,14.2,2,3.3,2801
1,-1,1,20,12,7.1,1,2.8,3.7,2,3.5,2575
-1,-1,1,21,5,2.0,0,0.6,12.2,2,3.7,2188
-1,-1,1,10,4,19.0,1,1.3,25.9,3,4.6,1336
-1,-1,-1,-2,6,14.7,0,0.8,24.7,3,4.5,841
-1,-1,-1,-7,18,5.0,1,5.0,17.0,2,2.4,2281
-1,1,-1,-7,5,0.0,1,1.5,5.6,2,3.0,1023
1,1,-1,-1,7,4.6,10,10.9,20.1,2,4.9,2624
-1,-1,-1,-16,6,6.3,0,5.2,12.2,2,3.1,899
-1,-1,1,12,4,14.0,1,2.7,24.9,3,2.4,1078
-1,-1,-1,-7,1,18.9,0,0.8,26.1,3,4.6,630
-1,1,1,4,3,20.5,2,3.4,2.7,2,3.3,453
-1,1,1,2,12,7.2,0,0.9,20.2,2,7.6,1924
1,1,1,1,5,6.1,0,2.0,17.9,2,4.2,366
1,-1,1,12,1,13.2,0,0.7,2.0,2,7.3,582
-1,1,1,9,17,9.1,16,14.9,5.8,2,5.9,2630
-1,1,1,1,7,9.0,3,3.9,5.6,2,3.3,2123
1,1,-1,-17,10,21.9,0,0.8,3.3,2,7.9,2391
1,-1,1,3,2,13.9,0,1.1,24.4,3,3.1,596
1,1,-1,-3,6,18.3,0,0.8,21.1,3,4.9,46
1,1,1,2,3,0.0,0,0.0,2.2,2,4.1,403
1,-1,-1,-20,17,16.7,9,7.0,20.7,2,6.0,1858
-1,1,-1,-3,15,10.9,15,13.5,13.9,2,4.4,1833
1,1,1,20,2,19.4,1,1.3,1.6,2,3.4,495
1,-1,-1,-7,2,24.0,0,0.0,1.3,2,2.3,670
1,1,1,1,7,15.4,5,4.1,7.0,2,2.9,1735
-1,-1,1,13,6,3.0,0,0.9,24.4,3,9.6,1214
-1,1,-1,-17,3,11.2,2,2.9,19.7,2,5.3,199
-1,-1,-1,-2,8,21.6,4,3.4,4.5,2,2.4,1795
1,1,-1,-28,4,4.9,2,2.6,7.6,2,6.8,445
1,-1,-1,-8,7,12.3,0,-0.2,19.7,2,9.8,1158
-1,1,1,9,4,24.0,0,0.0,2.0,2,0.8,324
1,1,1,3,9,13.6,0,0.8,23.4,3,5.7,1721
-1,-1,1,5,15,3.1,0,1.0,24.1,3,4.3,2530
